path,file_type,elf_class,endianness,machine,machine_value,elf_type,linkage,interpreter,dt_needed,rpath,runpath,symbol_versions,build_id,stripped,sha256
/usr/bin/rpmdb2solv,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libdb-5.1.so;librpmio-5.4.so;librpmdb-5.4.so;libexpat.so.1;libc.so.6,,,GLIBC_2.14;LIBRPMDB_0;LIBRPMIO_0,,yes,1eaff9cf669517b3105c1ea0536aefb50d67c4a7b52f757d7ae5b421cb566819
/usr/bin/rpmmd2solv,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libexpat.so.1;libz.so.1;libc.so.6,,,GLIBC_2.14;ZLIB_1.2.3.3,,yes,1c9a37c61f66eb802f55a1ecf1e669d04a8bc8fce1c747faba09f8282dac94ea
/usr/bin/rpms2solv,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libdb-5.1.so;librpmio-5.4.so;librpmdb-5.4.so;libc.so.6,,,GLIBC_2.14;LIBRPMDB_0;LIBRPMIO_0,,yes,bd9c91014a22cb2c6082c29449e27d3329be84a6faa1a808162b7c5affe0082a
/usr/bin/rstream,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,librdmacm.so.1;libpthread.so.0;libc.so.6,,,GLIBC_2.14;GLIBC_2.2.5;RDMACM_1.0,,yes,eb0cd66281f9457fbcb06694d31cbbfa201ead1474289bf014a5cb54b2b38474
/usr/bin/scdaemon,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libgcrypt.so.11;libgpg-error.so.0;libksba.so.8;libassuan.so.0;libpth.so.20;libdl.so.2;libusb-0.1.so.4;libc.so.6,,,GCRYPT_1.2;GLIBC_2.14;KSBA_0.9;LIBASSUAN_1.0,,yes,e6f208f42d447bb90d426fb8bfa244873d0e483cea8747d1ec10d54f8b31f910
/usr/bin/scp.openssh,"ELF 64-bit LSB shared object, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,DYN (Shared object file),dynamically linked,/lib64/ld-linux-k1om.so.2,librt.so.1;libc.so.6,,,GLIBC_2.14,,yes,e026a67fe97df67a357ff290cf31db3793700fa6f9fc5b765b74bc777780a890
/usr/bin/skill,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libproc-3.2.8.so;libc.so.6,,,GLIBC_2.14,,yes,254af361fbd9a0eed1694ccc35d13f69cc6b29c4244fdcad5d0e30043e7d9e38
/usr/bin/slabtop,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libproc-3.2.8.so;libncurses.so.5;libtinfo.so.5;libc.so.6,,,GLIBC_2.14,,yes,121256e4114e238bc23de464f214f7d9cb14280da99ebe654742c98edfa690de
/usr/bin/snice,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libproc-3.2.8.so;libc.so.6,,,GLIBC_2.14,,yes,254af361fbd9a0eed1694ccc35d13f69cc6b29c4244fdcad5d0e30043e7d9e38
/usr/bin/solv,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libdb-5.1.so;librpmio-5.4.so;librpmdb-5.4.so;libexpat.so.1;libz.so.1;libc.so.6,,,GLIBC_2.14;LIBRPMDB_0;LIBRPMIO_0;ZLIB_1.2.3.3,,yes,785cc04439cf8fc9173bf0c1aaca23f450083248d76a8e9de0bd518983c39e2a
